name|email|phone
Anthony Ung|ungant67@students.rowan.edu|609-123-4567
Cory Lillis|lillis@yahoo.com|609-345-6789
Edward Burns|burnse@gmail.com|856-123-4567
Jack Myers|myersjac@aol.com|609-234-5678
Vasil Hnatyshin|ukrainiandude@gmail.com|856-343-2345
Kwame Morton|mortonk@chclc.org|856-424-5600
Patrick McKee|mckee@yahoo.com|856-745-3649
Paulette Rollin|rollinp@rowan.edu|(1) 42.34.2555
Irena Santor|santori_pl@disney.pl|(26) 642-7555
Loekie Landweer|landweer@aol.nl|78.32.5555
Lise Ringheim|ringheim_lisa@aol.dk|31 12 3555
Deddi Savagnone|savagnoned@disney.it|(1) 42.34.2555
